run1,,Baseline 100%T,,GaAs,,
eV,Abs,eV,%T,eV,%T,
0.4303050637,-0.008588083088,0.4303050637,102.0959854,0.4303050637,49.09721756,
0.430486083,-0.008335690945,0.430486083,102.0393753,0.430486083,49.06003571,
0.4306670725,-0.00842410326,0.4306670725,102.0815277,0.4306670725,49.08065414,
0.4308481216,-0.008481985889,0.4308481216,102.063118,0.4308481216,49.00883865,
0.4310291409,-0.008274588734,0.4310291409,102.0163269,0.4310291409,49.03960419,
0.4312101603,-0.008125531487,0.4312101603,102.0425797,0.4312101603,48.94681931,
0.4313911498,-0.008204994723,0.4313911498,102.0289154,0.4313911498,48.96921539,
0.4315721691,-0.008185536601,0.4315721691,101.9756699,0.4315721691,48.96962738,
0.4317531884,-0.007967832498,0.4317531884,101.9972916,0.4317531884,48.9271698,
0.4319342077,-0.007762121968,0.4319342077,101.9535446,0.4319342077,48.92704773,
0.4321152568,-0.008036550134,0.4321152568,101.9430389,0.4321152568,48.91246414,
0.4322962463,-0.007692954037,0.4322962463,101.9600372,0.4322962463,48.94460297,
0.4324772656,-0.007865752093,0.4324772656,101.9447556,0.4324772656,48.93723297,
0.4326582849,-0.007982166484,0.4326582849,101.8671646,0.4326582849,49.00144196,
0.4328393042,-0.007689902093,0.4328393042,101.9016113,0.4328393042,48.91316605,
0.4330202937,-0.007622604724,0.4330202937,101.8808136,0.4330202937,48.99040604,
0.4332013428,-0.007561402395,0.4332013428,101.8498764,0.4332013428,48.95869064,
0.4333823621,-0.007495408412,0.4333823621,101.8721695,0.4333823621,48.9992485,
0.4335633814,-0.007450270001,0.4335633814,101.8275833,0.4335633814,49.02264023,
0.4337443709,-0.00754150888,0.4337443709,101.8707428,0.4337443709,49.05402756,
0.4339253902,-0.00723586278,0.4339253902,101.7964859,0.4339253902,49.07506943,
0.4341064095,-0.007534741424,0.4341064095,101.7709351,0.4341064095,49.15686798,
0.4342874587,-0.007189068012,0.4342874587,101.8293228,0.4342874587,49.11695099,
0.4344684482,-0.007062355522,0.4344684482,101.7897034,0.4344684482,49.13805008,
0.4346494675,-0.007146851625,0.4346494675,101.7565155,0.4346494675,49.21321487,
0.4348304868,-0.007146392949,0.4348304868,101.7224045,0.4348304868,49.26284027,
0.4350115061,-0.007072186098,0.4350115061,101.7445679,0.4350115061,49.2227211,
0.4351924956,-0.006919861771,0.4351924956,101.6928787,0.4351924956,49.20834732,
0.4353735447,-0.006844087038,0.4353735447,101.6745834,0.4353735447,49.28048706,
0.435554564,-0.006842864212,0.435554564,101.7246933,0.435554564,49.21182632,
0.4357355833,-0.006610565353,0.4357355833,101.6789322,0.4357355833,49.24555969,
